Category,Job_Title,JD_Number,Correct,Accuracy
HR,Human Resources Manager,1,8,80.0
HR,HR Coordinator,2,5,50.0
HR,HR Coordinator,3,10,100.0
HR,HR Coordinator,4,9,90.0
HR,HR Manager,5,10,100.0
HR,Human Resources Manager,6,8,80.0
HR,HR Manager,7,10,100.0
HR,Human Resources Manager,8,9,90.0
HR,HR Manager,9,8,80.0
INFORMATION-TECHNOLOGY,Network Engineer,1,6,60.0
INFORMATION-TECHNOLOGY,Network Administrator,2,7,70.0
INFORMATION-TECHNOLOGY,Software Engineer,3,4,40.0
INFORMATION-TECHNOLOGY,Systems Administrator,4,9,90.0
INFORMATION-TECHNOLOGY,IT Support Specialist,5,8,80.0
INFORMATION-TECHNOLOGY,Software Developer,6,1,10.0
INFORMATION-TECHNOLOGY,Systems Engineer,7,5,50.0
INFORMATION-TECHNOLOGY,Network Engineer,8,8,80.0
INFORMATION-TECHNOLOGY,Network Administrator,9,6,60.0
INFORMATION-TECHNOLOGY,IT Manager,10,7,70.0
DESIGNER,UX/UI Designer,1,7,70.0
DESIGNER,UX/UI Designer,2,5,50.0
DESIGNER,Web Designer,3,6,60.0
DESIGNER,UX/UI Designer,4,8,80.0
DESIGNER,Graphic Designer,5,8,80.0
DESIGNER,Product Designer,6,6,60.0
DESIGNER,Graphic Designer,7,10,100.0
DESIGNER,Web Designer,8,2,20.0
DESIGNER,Graphic Designer,9,10,100.0
SALES,Account Manager,1,3,30.0
SALES,Sales Manager,2,9,90.0
SALES,Sales Representative,3,9,90.0
SALES,Sales Representative,4,5,50.0
SALES,Sales Manager,5,6,60.0
SALES,Account Manager,6,0,0.0
SALES,Sales Manager,7,1,10.0
SALES,Sales Associate,8,9,90.0
SALES,Sales Representative,9,8,80.0
FINANCE,Investment Analyst,1,2,20.0
FINANCE,Investment Analyst,2,3,30.0
FINANCE,Financial Analyst,3,6,60.0
FINANCE,Financial Controller,4,8,80.0
FINANCE,Financial Analyst,5,7,70.0
FINANCE,Financial Advisor,6,7,70.0
FINANCE,Financial Controller,7,1,10.0
FINANCE,Finance Manager,8,2,20.0
FINANCE,Financial Advisor,9,6,60.0
FINANCE,Financial Analyst,10,6,60.0
BANKING,Investment Banker,1,2,20.0
BANKING,Investment Banker,2,4,40.0
BANKING,Investment Banker,3,3,30.0
HEALTHCARE,Registered Nurse,1,4,40.0
HEALTHCARE,Registered Nurse,2,3,30.0
HEALTHCARE,Registered Nurse,3,4,40.0
ENGINEERING,Mechanical Engineer,1,6,60.0
ENGINEERING,Civil Engineer,2,4,40.0
ENGINEERING,Electrical Engineer,3,8,80.0
ENGINEERING,Structural Engineer,4,7,70.0
ENGINEERING,Electrical Engineer,5,8,80.0
ENGINEERING,Process Engineer,6,9,90.0
ENGINEERING,Civil Engineer,7,2,20.0
ENGINEERING,Process Engineer,8,7,70.0
ENGINEERING,Mechanical Engineer,9,8,80.0
ENGINEERING,Electrical Engineer,10,10,100.0
ACCOUNTANT,Accountant,1,9,90.0
ACCOUNTANT,Accountant,2,7,70.0
ACCOUNTANT,Accountant,3,5,50.0
DIGITAL-MEDIA,Digital Marketing Specialist,1,6,60.0
DIGITAL-MEDIA,Digital Marketing Specialist,2,5,50.0
DIGITAL-MEDIA,Social Media Manager,3,7,70.0
DIGITAL-MEDIA,SEO Specialist,4,2,20.0
DIGITAL-MEDIA,SEO Specialist,5,4,40.0
DIGITAL-MEDIA,Social Media Manager,6,5,50.0
DIGITAL-MEDIA,Digital Marketing Specialist,7,6,60.0
DIGITAL-MEDIA,SEO Specialist,8,4,40.0
DIGITAL-MEDIA,Social Media Manager,9,3,30.0
CONSULTANT,Data Analyst,1,0,0.0
CONSULTANT,Research Analyst,2,0,0.0
CONSULTANT,Business Analyst,3,4,40.0
CONSULTANT,Data Analyst,4,0,0.0
CONSULTANT,Business Analyst,5,0,0.0
CONSULTANT,Research Analyst,6,2,20.0
CONSULTANT,Data Analyst,7,1,10.0
CONSULTANT,Business Analyst,8,0,0.0
CONSULTANT,Research Analyst,9,1,10.0
TEACHER,Teacher,1,9,90.0
TEACHER,Teacher,2,9,90.0
TEACHER,Teacher,3,8,80.0
ADVOCATE,Legal Assistant,1,2,20.0
ADVOCATE,Legal Counsel,2,1,10.0
ADVOCATE,Legal Assistant,3,3,30.0
ADVOCATE,Paralegal,4,1,10.0
ADVOCATE,Legal Advisor,5,2,20.0
ADVOCATE,Legal Counsel,6,1,10.0
ADVOCATE,Paralegal,7,1,10.0
ADVOCATE,Legal Advisor,8,1,10.0
ADVOCATE,Legal Advisor,9,1,10.0
ADVOCATE,Legal Assistant,10,2,20.0
ARTS,Art Director,1,4,40.0
ARTS,Art Director,2,0,0.0
ARTS,Art Director,3,1,10.0
BUSINESS-DEVELOPMENT,Business Development Manager,1,7,70.0
BUSINESS-DEVELOPMENT,Business Development Manager,2,5,50.0
BUSINESS-DEVELOPMENT,Business Development Manager,3,3,30.0
AGRICULTURE,Operations Manager,1,1,10.0
AGRICULTURE,Procurement Manager,2,0,0.0
AGRICULTURE,Supply Chain Manager,3,0,0.0
AGRICULTURE,Operations Manager,4,1,10.0
AGRICULTURE,Operations Manager,5,0,0.0
AGRICULTURE,Procurement Manager,6,0,0.0
AGRICULTURE,Supply Chain Manager,7,0,0.0
AGRICULTURE,Procurement Manager,8,0,0.0
APPAREL,Brand Manager,1,2,20.0
APPAREL,Brand Manager,2,1,10.0
APPAREL,Marketing Manager,3,1,10.0
APPAREL,Marketing Manager,4,1,10.0
APPAREL,Brand Manager,5,3,30.0
APPAREL,Marketing Manager,6,0,0.0
APPAREL,Product Manager,7,4,40.0
APPAREL,Product Manager,8,2,20.0
CONSTRUCTION,Project Manager,1,0,0.0
CONSTRUCTION,Project Manager,2,9,90.0
CONSTRUCTION,Project Manager,3,6,60.0
PUBLIC-RELATIONS,Brand Manager,1,4,40.0
PUBLIC-RELATIONS,Brand Manager,2,5,50.0
PUBLIC-RELATIONS,Social Media Manager,3,2,20.0
PUBLIC-RELATIONS,Marketing Manager,4,6,60.0
PUBLIC-RELATIONS,Marketing Manager,5,2,20.0
PUBLIC-RELATIONS,Social Media Manager,6,4,40.0
PUBLIC-RELATIONS,Brand Manager,7,3,30.0
PUBLIC-RELATIONS,Marketing Manager,8,0,0.0
PUBLIC-RELATIONS,Social Media Manager,9,4,40.0
BPO,Operations Manager,1,0,0.0
BPO,Customer Service Manager,2,0,0.0
BPO,Operations Manager,3,0,0.0
BPO,Operations Manager,4,2,20.0
BPO,Customer Service Manager,5,0,0.0
BPO,Customer Service Manager,6,1,10.0
